pb_acc	gene
ENSMUST00000112680.8	Epb41l3
ENSMUST00000112839.9	Fbxl17
ENSMUST00000112840.2	Fbxl17
ENSMUST00000112870.5	Vav1
ENSMUST00000112979.4	Catsperd
ENSMUST00000113035.8	Uhrf1
ENSMUST00000113038.8	Uhrf1
ENSMUST00000113039.9	Uhrf1
ENSMUST00000113072.3	Plin5
ENSMUST00000113195.8	Rftn1
ENSMUST00000113237.4	Trem2
ENSMUST00000113251.10	Trem1
ENSMUST00000113262.2	Foxp4
ENSMUST00000113263.8	Foxp4
ENSMUST00000113265.8	Foxp4
ENSMUST00000113280.8	Mdfi
ENSMUST00000113284.8	Tfeb
ENSMUST00000113288.8	Tfeb
ENSMUST00000113296.8	Frs3
ENSMUST00000113299.6	Prickle4
ENSMUST00000113300.8	Prickle4
ENSMUST00000113301.2	Tomm6
ENSMUST00000113302.10	Tomm6
ENSMUST00000113335.4	Ubr2
ENSMUST00000113337.10	Ubr2
ENSMUST00000113429.8	Mrpl2
ENSMUST00000113430.2	Mrpl2
ENSMUST00000113465.10	Crip3
ENSMUST00000113481.9	Zfp318
ENSMUST00000113519.2	Vegfa
ENSMUST00000113520.8	Vegfa
ENSMUST00000113523.9	Tmem63b
ENSMUST00000113529.4	Mymx
ENSMUST00000113547.2	Tcte1
ENSMUST00000113568.8	Runx2
ENSMUST00000113571.10	Runx2
ENSMUST00000113572.9	Runx2
ENSMUST00000113599.2	Adgrf5
ENSMUST00000113614.3	Adgrf2
ENSMUST00000113636.2	Or2n1b
ENSMUST00000113667.4	H2-M5
ENSMUST00000113669.9	Polr1h
ENSMUST00000113704.10	Trim39
ENSMUST00000113706.10	Trim39
ENSMUST00000113742.3	H2-T27
ENSMUST00000113760.10	H2-T24
ENSMUST00000113782.10	Mrps18b
ENSMUST00000113814.11	Ppp1r18
ENSMUST00000113879.4	H2-Q6
ENSMUST00000113886.3	Gm11131
ENSMUST00000114011.11	Lsm2
ENSMUST00000114033.9	Ehmt2
ENSMUST00000114140.10	Agpat1
ENSMUST00000114175.8	Tsbp1
ENSMUST00000114230.3	Psmb9
ENSMUST00000114232.4	H2-DMb1
ENSMUST00000114242.9	Brd2
ENSMUST00000114252.9	Col11a2
ENSMUST00000114255.9	Col11a2
ENSMUST00000114303.4	Hsd17b8
ENSMUST00000114311.11	H2-K1
ENSMUST00000114385.9	Hnrnpm
ENSMUST00000114455.3	Pglyrp2
ENSMUST00000114549.4	Tmprss3
ENSMUST00000114555.3	Umodl1
ENSMUST00000114574.3	Glp1r
ENSMUST00000114579.4	Fndc1
ENSMUST00000114683.10	Tmem217
ENSMUST00000114699.9	Pi16
ENSMUST00000114701.10	Pi16
ENSMUST00000114737.8	Pnpla1
ENSMUST00000114752.3	Mapk14
ENSMUST00000114754.8	Mapk14
ENSMUST00000114758.9	Mapk14
ENSMUST00000114764.8	Slc26a8
ENSMUST00000114767.3	Srpk1
ENSMUST00000114785.3	Clps
ENSMUST00000114792.8	Fkbp5
ENSMUST00000114794.2	Tulp1
ENSMUST00000114799.8	Tead3
ENSMUST00000114801.9	Fance
ENSMUST00000114803.9	Fance
ENSMUST00000114804.11	Fance
ENSMUST00000114836.9	Tcp11
ENSMUST00000114842.9	Anks1
ENSMUST00000114848.8	Taf11
ENSMUST00000114849.3	Bltp3a
ENSMUST00000114859.9	Ilrun
ENSMUST00000114863.10	Ilrun
ENSMUST00000114870.9	Spdef
ENSMUST00000114872.9	Pacsin1
ENSMUST00000114873.8	Pacsin1
ENSMUST00000114881.9	Rps10
ENSMUST00000114882.9	Rps10
ENSMUST00000114886.8	Nudt3
ENSMUST00000114888.11	Hmga1
ENSMUST00000114935.9	Cuta
ENSMUST00000114976.9	Luc7l
ENSMUST00000114988.8	Fam234a
ENSMUST00000115108.4	Gng13
ENSMUST00000115154.11	Gnptg
ENSMUST00000115181.9	Telo2
ENSMUST00000115228.9	Mapk8ip3
ENSMUST00000115262.9	Msrb1
ENSMUST00000115371.9	Rnps1
ENSMUST00000115390.5	Ccnf
ENSMUST00000115407.9	Pdpk1
ENSMUST00000115409.9	Pdpk1
ENSMUST00000115411.8	Pdpk1
ENSMUST00000115428.2	Dcpp3
ENSMUST00000115444.3	Prss33
ENSMUST00000115489.8	Thoc6
ENSMUST00000115490.9	Thoc6
ENSMUST00000115509.8	Zscan10
ENSMUST00000115516.11	Zfp13
ENSMUST00000115535.3	Zfp944
ENSMUST00000115565.2	Fpr3
ENSMUST00000115576.3	Lix1
ENSMUST00000115649.4	Gm8603
ENSMUST00000115708.2	Pde10a
ENSMUST00000115715.8	Pde10a
ENSMUST00000115717.9	Pde10a
ENSMUST00000115720.8	Pde10a
ENSMUST00000115722.8	Pde10a
ENSMUST00000115724.9	Pde10a
ENSMUST00000115747.3	Ttll2
ENSMUST00000115763.10	Sytl3
ENSMUST00000115772.6	Tmem181c-ps
ENSMUST00000115784.8	Synj2
ENSMUST00000115785.8	Synj2
ENSMUST00000115786.8	Synj2
ENSMUST00000115787.8	Synj2
ENSMUST00000115788.8	Synj2
ENSMUST00000115789.8	Synj2
ENSMUST00000115790.8	Synj2
ENSMUST00000115791.10	Synj2
ENSMUST00000115797.9	Arid1b
ENSMUST00000115799.2	Arid1b
ENSMUST00000115800.2	Nox3
ENSMUST00000116010.3	H2-Q5
ENSMUST00000116556.4	Washc1
ENSMUST00000116598.10	H2-Q7
ENSMUST00000116612.3	Rxrb
ENSMUST00000116619.9	Pram1
ENSMUST00000116641.9	Lmf1
ENSMUST00000116666.8	Tcp10b
ENSMUST00000117137.8	Mep1a
ENSMUST00000117186.2	Mif-ps8
ENSMUST00000117254.9	Hmga1
ENSMUST00000117301.8	Ddr1
ENSMUST00000117337.2	Abca3
ENSMUST00000117509.8	Mapk8ip3
ENSMUST00000117593.8	Tbp
ENSMUST00000117600.9	Hmga1
ENSMUST00000117606.2	Zscan10
ENSMUST00000117672.9	Kctd20
ENSMUST00000117823.2	Gm15426
ENSMUST00000117890.8	Spsb3
ENSMUST00000118001.8	Tbp
ENSMUST00000118042.2	Gm9311
ENSMUST00000118085.2	Gm15320
ENSMUST00000118161.3	Grm4
ENSMUST00000118283.8	Tgif1
ENSMUST00000118366.9	Mtch1
ENSMUST00000118369.2	Zscan10
ENSMUST00000118384.8	Atp6v1g2
ENSMUST00000118386.2	Gm15332
ENSMUST00000118487.8	Fam234a
ENSMUST00000118489.8	Grm4
ENSMUST00000118504.9	Cbs
ENSMUST00000118570.2	Hmga1
ENSMUST00000118599.9	Hmga1
ENSMUST00000118613.8	Uqcc2
ENSMUST00000118762.9	Kctd20
ENSMUST00000118768.8	Prkd3
ENSMUST00000118788.8	Hagh
ENSMUST00000118793.2	Gm16181
ENSMUST00000118828.8	Rab11fip3
ENSMUST00000118991.2	Prkd3
ENSMUST00000119013.2	Gm15425
ENSMUST00000119082.2	Or10al6
ENSMUST00000119115.8	Mapk8ip3
ENSMUST00000119193.2	H2-M6-ps
ENSMUST00000119227.3	Uqcc2
ENSMUST00000119274.3	Stk38
ENSMUST00000119284.8	Prkd3
ENSMUST00000119343.2	Gm15403
ENSMUST00000119486.9	Hmga1
ENSMUST00000119573.3	Gm9703
ENSMUST00000119825.8	Ddr1
ENSMUST00000119829.8	Spsb3
ENSMUST00000119841.8	Mrps10
ENSMUST00000119848.8	Eme2
ENSMUST00000119879.9	Tbp
ENSMUST00000119901.9	Cdkn1a
ENSMUST00000119928.8	Luc7l
ENSMUST00000119932.8	Dnase1l2
ENSMUST00000119945.8	Mrps10
ENSMUST00000120016.3	Zbtb9
ENSMUST00000120025.2	Kpna2-ps
ENSMUST00000120035.8	Mapk8ip3
ENSMUST00000120159.2	Gm6276
ENSMUST00000120222.8	Zfp946
ENSMUST00000120225.2	Gm15331
ENSMUST00000120276.9	Brd4
ENSMUST00000120333.8	Pdia2
ENSMUST00000120346.9	BC004004
ENSMUST00000120515.3	Gm16005
ENSMUST00000120691.9	Rab11fip3
ENSMUST00000120717.8	Capn11
ENSMUST00000120737.8	Mrps10
ENSMUST00000120943.8	Spsb3
ENSMUST00000120967.8	Zscan10
ENSMUST00000121226.8	Abca17
ENSMUST00000121285.8	Brd4
ENSMUST00000121290.2	Gm15321
ENSMUST00000121315.2	Zfp758
ENSMUST00000121414.3	Rps2-ps9
ENSMUST00000121542.2	Eme2
ENSMUST00000121671.2	Cnpy3
ENSMUST00000121723.8	Mapk8ip3
ENSMUST00000121787.8	Mapk8ip3
ENSMUST00000121959.3	Arhgdig
ENSMUST00000121995.2	Gm15821
ENSMUST00000122036.2	Or10al2
ENSMUST00000122058.8	Rgs11
ENSMUST00000122103.9	Rab11fip3
ENSMUST00000122106.9	Ggnbp1
ENSMUST00000122163.9	Kctd20
ENSMUST00000122283.3	Gm15599
ENSMUST00000122285.8	Zscan10
ENSMUST00000122318.4	Or10al7
ENSMUST00000122348.3	Cdkn1a
ENSMUST00000122634.4	Tbc1d5
ENSMUST00000122802.3	Ppp1r10
ENSMUST00000122809.2	Rps2
ENSMUST00000122869.2	Togaram2
ENSMUST00000122899.8	Ppp1r18
ENSMUST00000122904.2	Gm15556
ENSMUST00000122936.8	Prss41
ENSMUST00000122991.2	Flywch2
ENSMUST00000123009.3	4930506C21Rik
ENSMUST00000123020.9	Ppard
ENSMUST00000123026.8	Noxo1
ENSMUST00000123030.2	Afdn
ENSMUST00000123056.2	Decr2
ENSMUST00000123132.2	Mrpl28
ENSMUST00000123248.8	Fance
ENSMUST00000123311.8	Yipf3
ENSMUST00000123341.2	4930506C21Rik
ENSMUST00000123502.8	Ccdc167
ENSMUST00000123560.2	Jmjd8
ENSMUST00000123582.2	Jmjd8
ENSMUST00000123584.2	Prss30
ENSMUST00000123628.2	Tcp11
ENSMUST00000123646.2	Mrps18a
ENSMUST00000123653.3	Cyp4f13
ENSMUST00000123670.2	Rgs11
ENSMUST00000123686.8	Myl12a
ENSMUST00000123692.8	Jmjd8
ENSMUST00000123715.8	Trim26
ENSMUST00000123733.2	Zfp318
ENSMUST00000123797.8	Tulp1
ENSMUST00000123866.8	Zscan10
ENSMUST00000123929.9	Pigq
ENSMUST00000123989.9	Fgd2
ENSMUST00000124001.8	Spdya
ENSMUST00000124002.2	Ehmt2
ENSMUST00000124023.8	Mpc1
ENSMUST00000124032.2	Pigq
ENSMUST00000124099.8	Mapk13
ENSMUST00000124111.8	Safb2
ENSMUST00000124126.2	Polr1c
ENSMUST00000124136.2	Trim26
ENSMUST00000124188.2	Afdn
ENSMUST00000124196.2	Dll1
ENSMUST00000124205.2	B430306N03Rik
ENSMUST00000124222.2	Satb1
ENSMUST00000124229.8	Prkd3
ENSMUST00000124297.3	Ankrd12
ENSMUST00000124302.8	Mpnd
ENSMUST00000124307.2	Trim26
ENSMUST00000124362.2	Arid1b
ENSMUST00000124399.2	Crisp2
ENSMUST00000124457.8	Safb2
ENSMUST00000124465.2	Zfp763
ENSMUST00000124543.9	L3mbtl4
ENSMUST00000124557.3	Tedc2
ENSMUST00000124655.8	Polr1c
ENSMUST00000124765.8	Tfeb
ENSMUST00000124846.8	Ehmt2
ENSMUST00000124864.8	Noxo1
ENSMUST00000124870.8	Fance
ENSMUST00000124886.9	Mapk14
ENSMUST00000124894.2	Dynlt1c
ENSMUST00000124902.9	Pde9a
ENSMUST00000124917.3	Cpne5
ENSMUST00000124922.2	Afdn
ENSMUST00000125070.9	Stk38
ENSMUST00000125177.2	Tfeb
ENSMUST00000125317.2	1700030A11Rik
ENSMUST00000125329.2	Tgif1
ENSMUST00000125425.2	Acsbg3
ENSMUST00000125426.8	Treml4
ENSMUST00000125443.2	Thoc6
ENSMUST00000125507.2	Cimip3
ENSMUST00000125532.2	Nme3
ENSMUST00000125648.2	Mapk8ip3
ENSMUST00000125665.2	Lpin2
ENSMUST00000125691.8	Dlgap1
ENSMUST00000125709.2	Pdcd2
ENSMUST00000125745.8	Mdfi
ENSMUST00000125875.8	Ttc7
ENSMUST00000125876.2	Tulp1
ENSMUST00000125899.2	Brd4
ENSMUST00000125912.2	Zscan10
ENSMUST00000125949.2	Cul7
ENSMUST00000125963.2	Mrps10
ENSMUST00000126032.2	Enpp5
ENSMUST00000126164.8	Lmf1
ENSMUST00000126178.2	Dusp1
ENSMUST00000126258.8	Tfeb
ENSMUST00000126280.2	Mapk8ip3
ENSMUST00000126306.2	Rab11fip3
ENSMUST00000126319.8	Tbl3
ENSMUST00000126342.2	Noxo1
ENSMUST00000126464.8	Rgs11
ENSMUST00000126485.2	Zfp942
ENSMUST00000126497.2	Ttc7
ENSMUST00000126505.3	Bnip1
ENSMUST00000126529.2	Myl12a
ENSMUST00000126602.2	Rrp1b
ENSMUST00000126619.2	Stk38
ENSMUST00000126671.2	Stk38
ENSMUST00000126681.8	Lpin2
ENSMUST00000126683.2	Srpk1
ENSMUST00000126702.2	Notch4
ENSMUST00000126744.8	Atat1
ENSMUST00000126755.2	Cpne5
ENSMUST00000126790.3	Cyp4f41-ps
ENSMUST00000126801.8	Dlgap1
ENSMUST00000126868.8	Brpf3
ENSMUST00000126881.2	Synj2
ENSMUST00000126893.8	Stk38
ENSMUST00000126950.2	Notch4
ENSMUST00000126982.8	Tulp4
ENSMUST00000126993.8	Cpne5
ENSMUST00000127007.2	Brpf3
ENSMUST00000127027.2	Zfp960
ENSMUST00000127032.9	Tcte2
ENSMUST00000127065.8	Tmem63b
ENSMUST00000127144.2	Flywch2
ENSMUST00000127212.9	Tead3
ENSMUST00000127236.3	Nudt3
ENSMUST00000127259.2	Mtcl1
ENSMUST00000127280.8	Lmf1
ENSMUST00000127293.8	Eme2
ENSMUST00000127334.2	Fbxo11
ENSMUST00000127378.2	Yipf3
ENSMUST00000127423.3	Mtch1
ENSMUST00000127430.2	Smchd1
ENSMUST00000127442.8	Ppp1r18
ENSMUST00000127458.2	Ltbp1
ENSMUST00000127543.8	Tap2
ENSMUST00000127557.2	Zfp945
ENSMUST00000127594.2	Rgs11
ENSMUST00000127598.3	Hnrnpm
ENSMUST00000127622.3	Spdef
ENSMUST00000127647.3	Mrpl28
ENSMUST00000127676.3	Mettl4-ps1
ENSMUST00000127695.2	Cmtr1
ENSMUST00000127719.2	Tgif1
ENSMUST00000127755.2	Kctd5
ENSMUST00000127795.2	C2
ENSMUST00000127798.8	Supt3
ENSMUST00000127893.8	Brd4
ENSMUST00000127897.2	Pex6
ENSMUST00000127929.8	Pde9a
ENSMUST00000127947.2	Safb2
ENSMUST00000127959.8	Atat1
ENSMUST00000127960.2	ENSMUSG00000121378
ENSMUST00000127970.8	Ttc7
ENSMUST00000128079.3	Fance
ENSMUST00000128087.2	Sft2d1
ENSMUST00000128138.2	Gm16046
ENSMUST00000128146.8	Lmf1
ENSMUST00000128179.2	Myl12a
ENSMUST00000128194.9	Tcte2
ENSMUST00000128267.8	Prdm9
ENSMUST00000128314.2	Notch4
ENSMUST00000128351.9	Cbs
ENSMUST00000128410.8	Cmtr1
ENSMUST00000128461.2	Bnip1
ENSMUST00000128533.8	Tcp10a
ENSMUST00000128597.3	Pgap6
ENSMUST00000128734.3	Frs3
ENSMUST00000128751.3	Ccdc167
ENSMUST00000128758.9	Rpl10a
ENSMUST00000128767.8	Cfb
ENSMUST00000128900.2	Hba-ps4
ENSMUST00000128953.2	Eme2
ENSMUST00000128997.2	Pdpk1
ENSMUST00000129046.9	Tcp11
ENSMUST00000129057.2	Zfp952
ENSMUST00000129072.2	Togaram2
ENSMUST00000129091.9	Ccdc167
ENSMUST00000129093.2	Myl12a
ENSMUST00000129094.3	Stk38
ENSMUST00000129096.3	Mapk13
ENSMUST00000129157.3	Ppil1
ENSMUST00000129177.2	Tmem63b
ENSMUST00000129200.2	Cnpy3
ENSMUST00000129205.8	Satb1
ENSMUST00000129227.8	Zscan10
ENSMUST00000129360.2	Mdfi
ENSMUST00000129375.8	Tulp1
ENSMUST00000129395.8	Dll1
ENSMUST00000129401.8	Dnase1l2
ENSMUST00000129416.2	Supt3
ENSMUST00000129451.2	Ndufb10
ENSMUST00000129522.4	Zfp523
ENSMUST00000129523.3	Amdhd2
ENSMUST00000129525.2	Mtcl1
ENSMUST00000129580.2	Rps2
ENSMUST00000129616.8	Mcfd2
ENSMUST00000129632.8	Tcp1
ENSMUST00000129635.8	Lpin2
ENSMUST00000129667.8	Satb1
ENSMUST00000129681.3	Tcte2
ENSMUST00000129709.8	Tcp10a
ENSMUST00000129756.8	Ankrd12
ENSMUST00000129825.2	B430306N03Rik
ENSMUST00000129841.2	Mtcl1
ENSMUST00000129864.2	Cmtr1
ENSMUST00000129891.2	Gm20547
ENSMUST00000129917.8	Haghl
ENSMUST00000129935.8	Rpl10a
ENSMUST00000129984.2	Rps2
ENSMUST00000130033.9	Tcte2
ENSMUST00000130052.9	Cmtr1
ENSMUST00000130070.2	Prkd3
ENSMUST00000130124.2	Ppp1r10
ENSMUST00000130194.8	Spsb3
ENSMUST00000130208.8	Tfeb
ENSMUST00000130216.3	Srsf3
ENSMUST00000130218.8	ENSMUSG00000121397
ENSMUST00000130297.2	Prdm9
ENSMUST00000130309.8	Atat1
ENSMUST00000130367.8	Trim26
ENSMUST00000130379.9	Fbxo11
ENSMUST00000130406.2	Hsp90ab1
ENSMUST00000130423.4	Cmtr1
ENSMUST00000130520.2	Amdhd2
ENSMUST00000130525.2	Telo2
ENSMUST00000130547.9	Pde9a
ENSMUST00000130559.2	Mpc1
ENSMUST00000130574.4	Lclat1
ENSMUST00000130607.2	Gm16195
ENSMUST00000130623.2	Supt3
ENSMUST00000130633.2	Tbl3
ENSMUST00000130639.2	4930506C21Rik
ENSMUST00000130643.9	Srpk1
ENSMUST00000130661.2	Synj2
ENSMUST00000130728.2	C2
ENSMUST00000130750.3	Lpin2
ENSMUST00000130782.8	Sft2d1
ENSMUST00000130801.8	Trim26
ENSMUST00000130810.2	Bltp3a
ENSMUST00000130830.2	Gm20517
ENSMUST00000130861.2	Ciao3
ENSMUST00000130871.2	Gm28043
ENSMUST00000130877.2	Tulp1
ENSMUST00000130890.2	Cenpq
ENSMUST00000130936.3	Syngr3
ENSMUST00000130946.8	Hnrnpm
ENSMUST00000130952.8	Trmt61b
ENSMUST00000130964.2	Mep1a
ENSMUST00000130971.2	Dlgap1
ENSMUST00000130989.8	Hagh
ENSMUST00000130992.2	Atp6v1g2
ENSMUST00000131056.2	Safb2
ENSMUST00000131089.2	Tmem63b
ENSMUST00000131105.2	Tap2
ENSMUST00000131131.2	Ezr
ENSMUST00000131134.9	Col11a2
ENSMUST00000131218.2	Gm16276
ENSMUST00000131335.2	Lclat1
ENSMUST00000131362.2	Bnip1
ENSMUST00000131417.9	Pde9a
ENSMUST00000131458.8	Ciao3
ENSMUST00000131550.2	Usp49
ENSMUST00000131604.3	Tulp1
ENSMUST00000131699.8	Crisp2
ENSMUST00000131722.9	Zfp563
ENSMUST00000131766.2	Amdhd2
ENSMUST00000131807.8	Ccdc167
ENSMUST00000131820.2	Myl12b
ENSMUST00000131915.2	Ehmt2
ENSMUST00000131943.2	Mrps18a
ENSMUST00000131954.2	Morc2b
ENSMUST00000131971.2	Mdfi
ENSMUST00000131998.2	Tsbp1
ENSMUST00000132125.8	Mdfi
ENSMUST00000132258.2	Mapk8ip3
ENSMUST00000132262.3	Rab44
ENSMUST00000132340.2	Trem2
ENSMUST00000132363.2	Kdm4b
ENSMUST00000132384.2	Ston1
ENSMUST00000132397.2	Gm20517
ENSMUST00000132670.3	Scube3
ENSMUST00000132675.2	Prdm9
ENSMUST00000132753.2	Mtch1
ENSMUST00000132790.2	Cul7
ENSMUST00000132803.2	Rps2
ENSMUST00000132804.8	Ubxn6
ENSMUST00000132825.2	Tgif1
ENSMUST00000132944.8	Amdhd2
ENSMUST00000132972.2	Crebrf
ENSMUST00000133003.8	Tcp1
ENSMUST00000133032.8	Luc7l
ENSMUST00000133048.8	Nudt3
ENSMUST00000133071.8	Haghl
ENSMUST00000133127.2	Cfb
ENSMUST00000133156.8	Lpin2
ENSMUST00000133198.2	Mapk8ip3
ENSMUST00000133221.3	Trp53cor1
ENSMUST00000133257.9	Gm50253
ENSMUST00000133274.3	Gm15420
ENSMUST00000133308.3	Hsf2bp
ENSMUST00000133393.8	Cul7
ENSMUST00000133422.8	Afdn
ENSMUST00000133527.9	Fance
ENSMUST00000133574.8	Satb1
ENSMUST00000133595.9	Jmjd8
ENSMUST00000133604.8	Safb2
ENSMUST00000133605.8	Vegfa
ENSMUST00000133641.2	Ppp1r10
ENSMUST00000133650.9	Pigq
ENSMUST00000133717.9	Dlgap1
ENSMUST00000133741.8	Tmem63b
ENSMUST00000133749.2	Zscan10
ENSMUST00000133786.3	Mapk13
ENSMUST00000133816.8	Abca3
ENSMUST00000133849.2	Thoc6
ENSMUST00000133855.2	Med20
ENSMUST00000133868.2	Zfp523
ENSMUST00000133899.2	St6gal2
ENSMUST00000133912.8	Spaca6
ENSMUST00000133955.2	Galm
ENSMUST00000133983.8	Dlgap1
ENSMUST00000133998.8	Mpnd
ENSMUST00000134042.4	H2-Ea
ENSMUST00000134107.2	Foxn2
ENSMUST00000134108.8	Ciao3
ENSMUST00000134139.8	Mtcl1
ENSMUST00000134149.2	Lclat1
ENSMUST00000134228.3	4930526A20Rik
ENSMUST00000134237.2	Mrps18a
ENSMUST00000134300.2	C2
ENSMUST00000134325.8	Trim26
ENSMUST00000134344.8	Bnip1
ENSMUST00000134441.2	Ubxn6
ENSMUST00000134497.2	Safb2
ENSMUST00000134525.9	Pde9a
ENSMUST00000134652.2	Ttc39d
ENSMUST00000134654.2	Tgif1
ENSMUST00000134665.2	Tcp1
ENSMUST00000134687.2	Ncr3-ps
ENSMUST00000134723.2	Rasal3
ENSMUST00000134741.8	Safb2
ENSMUST00000134767.8	Synj2
ENSMUST00000134932.2	Spsb3
ENSMUST00000134978.3	Tubb5
ENSMUST00000134995.8	Ddr1
ENSMUST00000135007.3	Tgif1
ENSMUST00000135078.2	Ddr1
ENSMUST00000135123.3	Ppil1
ENSMUST00000135136.8	Ankrd12
ENSMUST00000135203.2	Gm4577
ENSMUST00000135217.2	Tsbp1
ENSMUST00000135253.3	Pigq
ENSMUST00000135259.2	Thoc6
ENSMUST00000135418.8	Mrps10
ENSMUST00000135425.9	Cbs
ENSMUST00000135447.8	Ltbp1
ENSMUST00000135549.8	Prss30
ENSMUST00000135560.2	Rasal3
ENSMUST00000135589.8	Lpin2
ENSMUST00000135618.8	Rasal3
ENSMUST00000135620.2	Rab12
ENSMUST00000135627.8	Sft2d1
ENSMUST00000135639.8	Fbxo11
ENSMUST00000135708.2	Ndufb10
ENSMUST00000135750.2	Ltbp1
ENSMUST00000135754.2	Pi16
ENSMUST00000135824.8	Bnip1
ENSMUST00000135840.2	Zfp40
ENSMUST00000135850.8	Gm49936
ENSMUST00000135899.2	Bnip1
ENSMUST00000135938.8	Dlgap1
ENSMUST00000135964.2	Sft2d1
ENSMUST00000135968.2	Rasal3
ENSMUST00000136017.2	Zfp318
ENSMUST00000136061.8	Mrps10
ENSMUST00000136071.2	Smchd1
ENSMUST00000136087.2	Afdn
ENSMUST00000136094.2	Rrp1b
ENSMUST00000136160.2	Pde10a
ENSMUST00000136233.2	Brpf3
ENSMUST00000136272.8	Treml4
ENSMUST00000136295.2	Abca3
ENSMUST00000136314.2	Foxp4
ENSMUST00000136375.8	Rasal3
ENSMUST00000136384.9	Pde9a
ENSMUST00000136504.3	Srpk1
ENSMUST00000136531.2	Frs3os
ENSMUST00000136811.8	Ppil1
ENSMUST00000136922.8	T
ENSMUST00000136954.3	1700010I14Rik
ENSMUST00000136975.2	Ppp2r1a
ENSMUST00000136986.2	Prkce
ENSMUST00000137039.2	Foxp4
ENSMUST00000137063.2	Tulp4
ENSMUST00000137069.8	Atat1
ENSMUST00000137071.8	Ehmt2
ENSMUST00000137079.9	Ccdc167
ENSMUST00000137138.2	Ston1
ENSMUST00000137147.9	Scube3
ENSMUST00000137182.8	Atat1
ENSMUST00000137201.8	Lmf1
ENSMUST00000137222.8	Cyp4f13
ENSMUST00000137228.2	Spaca6
ENSMUST00000137233.2	Pdcd2
ENSMUST00000137289.2	Tcp1
ENSMUST00000137344.2	Mpc1
ENSMUST00000137374.2	Col11a2
ENSMUST00000137386.8	Ift140
ENSMUST00000137458.2	Rasal3
ENSMUST00000137459.8	2700054A10Rik
ENSMUST00000137495.8	Afdn
ENSMUST00000137503.2	Afdn
ENSMUST00000137531.3	Afdn
ENSMUST00000137537.2	Myl12b
ENSMUST00000137539.8	4833418N02Rik
ENSMUST00000137581.3	Snrpc
ENSMUST00000137587.8	Haghl
ENSMUST00000137644.3	Fgd2
ENSMUST00000137648.8	Tedc2
ENSMUST00000137672.3	Decr2
ENSMUST00000137697.2	Satb1
ENSMUST00000137708.8	Afdn
ENSMUST00000137727.3	Cpne5
ENSMUST00000137730.2	Gm16196
ENSMUST00000137784.8	Afdn
ENSMUST00000137825.2	Bltp3a
ENSMUST00000137830.8	Trmt61b
ENSMUST00000137845.2	Tfeb
ENSMUST00000137876.2	Uhrf1
ENSMUST00000137883.3	BC028777
ENSMUST00000137917.2	Rrp1b
ENSMUST00000137927.9	Pde9a
ENSMUST00000137989.2	Bnip1
ENSMUST00000138100.2	Haghl
ENSMUST00000138127.8	Zfp318
ENSMUST00000138172.2	Hsf2bp
ENSMUST00000138193.8	Smchd1
ENSMUST00000138222.8	Tcp10a
ENSMUST00000138316.2	Frs3
ENSMUST00000138345.8	2700054A10Rik
ENSMUST00000138487.2	Zscan10
ENSMUST00000138491.2	Tap2
ENSMUST00000138500.2	Ehmt2
ENSMUST00000138537.3	Fgd2
ENSMUST00000138598.8	Dynlt1c
ENSMUST00000138638.2	Med20
ENSMUST00000138648.2	Mrps34
ENSMUST00000138685.3	Amdhd2
ENSMUST00000138709.2	Tcp1
ENSMUST00000138728.2	Smim29
ENSMUST00000138759.8	Haghl
ENSMUST00000138818.2	Tedc2
ENSMUST00000138847.8	Ndufv2
ENSMUST00000138939.2	Cmtr1
ENSMUST00000138970.3	Spdef
ENSMUST00000138971.2	Ppp2r1a
ENSMUST00000139013.2	Abcg1
ENSMUST00000139063.8	Tsbp1
ENSMUST00000139078.3	Pigq
ENSMUST00000139173.3	Anks1
ENSMUST00000139196.2	Telo2
ENSMUST00000139226.2	Pigq
ENSMUST00000139258.2	Mcfd2
ENSMUST00000139293.2	Ppp2r1a
ENSMUST00000139300.2	Ift140
ENSMUST00000139302.8	Hnrnpm
ENSMUST00000139344.2	Rhoq
ENSMUST00000139347.8	Afdn
ENSMUST00000139353.8	Cyp4f13
ENSMUST00000139371.2	Ubxn6
ENSMUST00000139383.8	L3mbtl4
ENSMUST00000139405.2	Frs3
ENSMUST00000139542.2	Serac1
ENSMUST00000139610.8	Pdcd2
ENSMUST00000139639.2	Rgs11
ENSMUST00000139654.2	Uhrf1
ENSMUST00000139666.8	Afdn
ENSMUST00000139679.8	Kdm4b
ENSMUST00000139754.8	Eme2
ENSMUST00000139773.9	Gm15318
ENSMUST00000139901.3	Ankrd12
ENSMUST00000139911.2	Prdm9
ENSMUST00000139931.2	Rab44
ENSMUST00000139969.8	Spaca6
ENSMUST00000140037.8	Safb2
ENSMUST00000140134.2	Lix1
ENSMUST00000140150.2	Lpin2
ENSMUST00000140192.8	Tcp10a
ENSMUST00000140234.2	Mdfi
ENSMUST00000140250.8	Tulp1
ENSMUST00000140292.8	Atat1
ENSMUST00000140304.2	Pigq
ENSMUST00000140313.8	Zfp40
ENSMUST00000140355.9	Stk38
ENSMUST00000140404.2	Fance
ENSMUST00000140427.8	Luc7l
ENSMUST00000140587.9	Brpf3
ENSMUST00000140688.8	Eme2
ENSMUST00000140692.8	Ift140
ENSMUST00000140715.2	Tfeb
ENSMUST00000140727.2	Satb1
ENSMUST00000140728.8	Dlgap1
