PacBio_Accession	Genename_from_GTF	Genename_from_FASTA	ENSG_from_GC	PacBio_Descr_from_GTF	In_GTF	In_FASTA
ENSMUST00000115116.8	Muc20	Muc20	ENSMUSG00000035638	Muc20|ENSMUST00000115116.8|nan	yes	yes
ENSMUST00000035350.12	Aftph	Aftph	ENSMUSG00000049659	Aftph|ENSMUST00000035350.12|nan	yes	yes
ENSMUST00000233337.2	9830107B12Rik	9830107B12Rik	ENSMUSG00000073386	9830107B12Rik|ENSMUST00000233337.2|nan	yes	yes
ENSMUST00000049138.8	Spring1	Spring1	ENSMUSG00000032840	Spring1|ENSMUST00000049138.8|nan	yes	yes
ENSMUST00000018561.14	Myo1b	Myo1b	ENSMUSG00000018417	Myo1b|ENSMUST00000018561.14|nan	yes	yes
ENSMUST00000188106.7	Cacna1c	Cacna1c	ENSMUSG00000051331	Cacna1c|ENSMUST00000188106.7|nan	yes	yes
ENSMUST00000201491.2	Mpv17	Mpv17	ENSMUSG00000107283	Mpv17|ENSMUST00000201491.2|nan	yes	yes
ENSMUST00000139204.8	Syne2	Syne2	ENSMUSG00000063450	Syne2|ENSMUST00000139204.8|nan	yes	yes
ENSMUST00000031852.5	Spmip4	Spmip4	ENSMUSG00000029828	Spmip4|ENSMUST00000031852.5|nan	yes	yes
ENSMUST00000117556.8	D630045J12Rik	D630045J12Rik	ENSMUSG00000063455	D630045J12Rik|ENSMUST00000117556.8|nan	yes	yes
ENSMUST00000232499.2	Dynlt1a	Dynlt1a	ENSMUSG00000092074	Dynlt1a|ENSMUST00000232499.2|nan	yes	yes
ENSMUST00000114608.3	Etl4	Etl4	ENSMUSG00000036617	Etl4|ENSMUST00000114608.3|nan	yes	yes
ENSMUST00000166358.8	Ndrg4	Ndrg4	ENSMUSG00000036564	Ndrg4|ENSMUST00000166358.8|nan	yes	yes
ENSMUST00000113422.9	Hdx	Hdx	ENSMUSG00000034551	Hdx|ENSMUST00000113422.9|nan	yes	yes
ENSMUST00000087543.5	B3galt4	B3galt4	ENSMUSG00000067370	B3galt4|ENSMUST00000087543.5|nan	yes	yes
ENSMUST00000103035.10	Kctd2	Kctd2	ENSMUSG00000016940	Kctd2|ENSMUST00000103035.10|nan	yes	yes
ENSMUST00000167200.7	Fcrl1	Fcrl1	ENSMUSG00000059994	Fcrl1|ENSMUST00000167200.7|nan	yes	yes
ENSMUST00000174651.2	Gm20604	Gm20604	ENSMUSG00000041716	Gm20604|ENSMUST00000174651.2|nan	yes	yes
ENSMUST00000063816.6	D630039A03Rik	D630039A03Rik	ENSMUSG00000052117	D630039A03Rik|ENSMUST00000063816.6|nan	yes	yes
ENSMUST00000061586.11	Zfp507	Zfp507	ENSMUSG00000044452	Zfp507|ENSMUST00000061586.11|nan	yes	yes
ENSMUST00000026573.7	Lmntd2	Lmntd2	ENSMUSG00000025500	Lmntd2|ENSMUST00000026573.7|nan	yes	yes
ENSMUST00000057272.15	Bltp1	Bltp1	ENSMUSG00000037270	Bltp1|ENSMUST00000057272.15|nan	yes	yes
ENSMUST00000014597.5	Blk	Blk	ENSMUSG00000014453	Blk|ENSMUST00000014597.5|nan	yes	yes
ENSMUST00000204198.3	Brpf1	Brpf1	ENSMUSG00000001632	Brpf1|ENSMUST00000204198.3|nan	yes	yes
ENSMUST00000149200.8	Tarbp2	Tarbp2	ENSMUSG00000023051	Tarbp2|ENSMUST00000149200.8|nan	yes	yes
ENSMUST00000031186.9	Ugt2b35	Ugt2b35	ENSMUSG00000035811	Ugt2b35|ENSMUST00000031186.9|nan	yes	yes
ENSMUST00000096203.2	Or5b116	Or5b116	ENSMUSG00000096320	Or5b116|ENSMUST00000096203.2|nan	yes	yes
ENSMUST00000063578.6	Ghrhr	Ghrhr	ENSMUSG00000004654	Ghrhr|ENSMUST00000063578.6|nan	yes	yes
ENSMUST00000112643.2	Steap3	Steap3	ENSMUSG00000026389	Steap3|ENSMUST00000112643.2|nan	yes	yes
ENSMUST00000213643.2	Calml4	Calml4	ENSMUSG00000032246	Calml4|ENSMUST00000213643.2|nan	yes	yes
ENSMUST00000238842.2	Nrg1	Nrg1	ENSMUSG00000118541	Nrg1|ENSMUST00000238842.2|nan	yes	yes
ENSMUST00000117713.8	Cdip1	Cdip1	ENSMUSG00000004071	Cdip1|ENSMUST00000117713.8|nan	yes	yes
ENSMUST00000075299.13	Ppargc1b	Ppargc1b	ENSMUSG00000033871	Ppargc1b|ENSMUST00000075299.13|nan	yes	yes
ENSMUST00000164834.3	Gpr62	Gpr62	ENSMUSG00000091735	Gpr62|ENSMUST00000164834.3|nan	yes	yes
ENSMUST00000042990.7	Serbp1	Serbp1	ENSMUSG00000036371	Serbp1|ENSMUST00000042990.7|nan	yes	yes
ENSMUST00000070997.6	Myo1d	Myo1d	ENSMUSG00000035441	Myo1d|ENSMUST00000070997.6|nan	yes	yes
ENSMUST00000032414.11	Ttll3	Ttll3	ENSMUSG00000030276	Ttll3|ENSMUST00000032414.11|nan	yes	yes
ENSMUST00000065900.10	Hhipl2	Hhipl2	ENSMUSG00000053461	Hhipl2|ENSMUST00000065900.10|nan	yes	yes
ENSMUST00000059052.9	Trmt10c	Trmt10c	ENSMUSG00000044763	Trmt10c|ENSMUST00000059052.9|nan	yes	yes
ENSMUST00000086535.12	Rpl31	Rpl31	ENSMUSG00000073702	Rpl31|ENSMUST00000086535.12|nan	yes	yes
ENSMUST00000110473.3	H2bc22	H2bc22	ENSMUSG00000069308	H2bc22|ENSMUST00000110473.3|nan	yes	yes
ENSMUST00000206308.2	Mfrp	Mfrp	ENSMUSG00000034739	Mfrp|ENSMUST00000206308.2|nan	yes	yes
ENSMUST00000110260.8	Lzts3	Lzts3	ENSMUSG00000037703	Lzts3|ENSMUST00000110260.8|nan	yes	yes
ENSMUST00000111603.10	Rpgrip1	Rpgrip1	ENSMUSG00000057132	Rpgrip1|ENSMUST00000111603.10|nan	yes	yes
ENSMUST00000129905.2	Rab7b	Rab7b	ENSMUSG00000052688	Rab7b|ENSMUST00000129905.2|nan	yes	yes
ENSMUST00000000895.13	Necab3	Necab3	ENSMUSG00000027489	Necab3|ENSMUST00000000895.13|nan	yes	yes
ENSMUST00000172257.2	Or13d1	Or13d1	ENSMUSG00000070983	Or13d1|ENSMUST00000172257.2|nan	yes	yes
ENSMUST00000078574.12	Xlr5a	Xlr5a	ENSMUSG00000058328	Xlr5a|ENSMUST00000078574.12|nan	yes	yes
ENSMUST00000022704.9	Itm2b	Itm2b	ENSMUSG00000022108	Itm2b|ENSMUST00000022704.9|nan	yes	yes
ENSMUST00000114987.4	Camk1d	Camk1d	ENSMUSG00000039145	Camk1d|ENSMUST00000114987.4|nan	yes	yes
ENSMUST00000100527.13	Puf60	Puf60	ENSMUSG00000002524	Puf60|ENSMUST00000100527.13|nan	yes	yes
ENSMUST00000165180.3	Vmn2r16	Vmn2r16	ENSMUSG00000092080	Vmn2r16|ENSMUST00000165180.3|nan	yes	yes
ENSMUST00000031435.14	Kdm2b	Kdm2b	ENSMUSG00000029475	Kdm2b|ENSMUST00000031435.14|nan	yes	yes
ENSMUST00000072044.2	Vmn1r210	Vmn1r210	ENSMUSG00000061296	Vmn1r210|ENSMUST00000072044.2|nan	yes	yes
ENSMUST00000031167.6	Polr2b	Polr2b	ENSMUSG00000029250	Polr2b|ENSMUST00000031167.6|nan	yes	yes
ENSMUST00000028726.9	Ankef1	Ankef1	ENSMUSG00000074771	Ankef1|ENSMUST00000028726.9|nan	yes	yes
ENSMUST00000113320.3	Diaph2	Diaph2	ENSMUSG00000034480	Diaph2|ENSMUST00000113320.3|nan	yes	yes
ENSMUST00000238699.2	Ralgds	Ralgds	ENSMUSG00000026821	Ralgds|ENSMUST00000238699.2|nan	yes	yes
ENSMUST00000164309.3	Mcm5	Mcm5	ENSMUSG00000005410	Mcm5|ENSMUST00000164309.3|nan	yes	yes
ENSMUST00000181023.2	Nufip2	Nufip2	ENSMUSG00000037857	Nufip2|ENSMUST00000181023.2|nan	yes	yes
ENSMUST00000073691.5	Lima1	Lima1	ENSMUSG00000023022	Lima1|ENSMUST00000073691.5|nan	yes	yes
ENSMUST00000036680.8	Thap3	Thap3	ENSMUSG00000039759	Thap3|ENSMUST00000036680.8|nan	yes	yes
ENSMUST00000003066.16	Apoe	Apoe	ENSMUSG00000002985	Apoe|ENSMUST00000003066.16|nan	yes	yes
ENSMUST00000127874.6	Rpl9	Rpl9	ENSMUSG00000047215	Rpl9|ENSMUST00000127874.6|nan	yes	yes
ENSMUST00000077119.8	Gjc3	Gjc3	ENSMUSG00000056966	Gjc3|ENSMUST00000077119.8|nan	yes	yes
ENSMUST00000131145.10	Tmem67	Tmem67	ENSMUSG00000049488	Tmem67|ENSMUST00000131145.10|nan	yes	yes
ENSMUST00000066560.13	Glb1l2	Glb1l2	ENSMUSG00000036395	Glb1l2|ENSMUST00000066560.13|nan	yes	yes
ENSMUST00000091259.9	Slc7a14	Slc7a14	ENSMUSG00000069072	Slc7a14|ENSMUST00000091259.9|nan	yes	yes
ENSMUST00000091679.4	Prl6a1	Prl6a1	ENSMUSG00000069259	Prl6a1|ENSMUST00000091679.4|nan	yes	yes
ENSMUST00000235872.2	Ccbe1	Ccbe1	ENSMUSG00000046318	Ccbe1|ENSMUST00000235872.2|nan	yes	yes
ENSMUST00000082008.12	Tspan32	Tspan32	ENSMUSG00000000244	Tspan32|ENSMUST00000082008.12|nan	yes	yes
ENSMUST00000115323.8	Grm8	Grm8	ENSMUSG00000024211	Grm8|ENSMUST00000115323.8|nan	yes	yes
ENSMUST00000112202.8	Prkcd	Prkcd	ENSMUSG00000021948	Prkcd|ENSMUST00000112202.8|nan	yes	yes
ENSMUST00000080008.13	Arfgap2	Arfgap2	ENSMUSG00000027255	Arfgap2|ENSMUST00000080008.13|nan	yes	yes
ENSMUST00000133939.2	Mfsd13b	Mfsd13b	ENSMUSG00000030877	Mfsd13b|ENSMUST00000133939.2|nan	yes	yes
ENSMUST00000220225.2	Lsm7	Lsm7	ENSMUSG00000035215	Lsm7|ENSMUST00000220225.2|nan	yes	yes
ENSMUST00000060490.11	Homer1	Homer1	ENSMUSG00000007617	Homer1|ENSMUST00000060490.11|nan	yes	yes
ENSMUST00000042390.5	Man1b1	Man1b1	ENSMUSG00000036646	Man1b1|ENSMUST00000042390.5|nan	yes	yes
ENSMUST00000132615.8	Inpp4a	Inpp4a	ENSMUSG00000026113	Inpp4a|ENSMUST00000132615.8|nan	yes	yes
ENSMUST00000034647.11	Zfp558	Zfp558	ENSMUSG00000074500	Zfp558|ENSMUST00000034647.11|nan	yes	yes
ENSMUST00000045174.7	Ypel5	Ypel5	ENSMUSG00000039770	Ypel5|ENSMUST00000045174.7|nan	yes	yes
ENSMUST00000075471.4	Il1rapl2	Il1rapl2	ENSMUSG00000059203	Il1rapl2|ENSMUST00000075471.4|nan	yes	yes
ENSMUST00000126198.3	Fam78b	Fam78b	ENSMUSG00000060568	Fam78b|ENSMUST00000126198.3|nan	yes	yes
ENSMUST00000070342.4	Sertm1	Sertm1	ENSMUSG00000056306	Sertm1|ENSMUST00000070342.4|nan	yes	yes
ENSMUST00000209146.2	Coq7	Coq7	ENSMUSG00000030652	Coq7|ENSMUST00000209146.2|nan	yes	yes
ENSMUST00000144618.8	Aqp9	Aqp9	ENSMUSG00000032204	Aqp9|ENSMUST00000144618.8|nan	yes	yes
ENSMUST00000069557.14	Smad5	Smad5	ENSMUSG00000021540	Smad5|ENSMUST00000069557.14|nan	yes	yes
ENSMUST00000162947.3	Fnbp1l	Fnbp1l	ENSMUSG00000039735	Fnbp1l|ENSMUST00000162947.3|nan	yes	yes
ENSMUST00000058965.4	Or11j4	Or11j4	ENSMUSG00000047716	Or11j4|ENSMUST00000058965.4|nan	yes	yes
ENSMUST00000130871.2	Gm28043	Gm28043	ENSMUSG00000098374	Gm28043|ENSMUST00000130871.2|nan	yes	yes
ENSMUST00000111314.2	Adamts4	Adamts4	ENSMUSG00000006403	Adamts4|ENSMUST00000111314.2|nan	yes	yes
ENSMUST00000081677.12	Ppil3	Ppil3	ENSMUSG00000026035	Ppil3|ENSMUST00000081677.12|nan	yes	yes
ENSMUST00000174734.8	Kmt2c	Kmt2c	ENSMUSG00000038056	Kmt2c|ENSMUST00000174734.8|nan	yes	yes
ENSMUST00000110522.10	Trim9	Trim9	ENSMUSG00000021071	Trim9|ENSMUST00000110522.10|nan	yes	yes
ENSMUST00000179118.2	Dnajc4	Dnajc4	ENSMUSG00000024963	Dnajc4|ENSMUST00000179118.2|nan	yes	yes
ENSMUST00000048118.15	Hsd17b13	Hsd17b13	ENSMUSG00000034528	Hsd17b13|ENSMUST00000048118.15|nan	yes	yes
ENSMUST00000022081.3	Spata9	Spata9	ENSMUSG00000021590	Spata9|ENSMUST00000022081.3|nan	yes	yes
ENSMUST00000229236.2	Smarcd1	Smarcd1	ENSMUSG00000023018	Smarcd1|ENSMUST00000229236.2|nan	yes	yes
ENSMUST00000113572.9	Runx2	Runx2	ENSMUSG00000039153	Runx2|ENSMUST00000113572.9|nan	yes	yes
ENSMUST00000188658.2	Kirrel3	Kirrel3	ENSMUSG00000032036	Kirrel3|ENSMUST00000188658.2|nan	yes	yes
ENSMUST00000125835.3	Myo15b	Myo15b	ENSMUSG00000034427	Myo15b|ENSMUST00000125835.3|nan	yes	yes
ENSMUST00000105788.2	Clcnkb	Clcnkb	ENSMUSG00000006216	Clcnkb|ENSMUST00000105788.2|nan	yes	yes
ENSMUST00000198837.3	Vamp9	Vamp9	ENSMUSG00000105078	Vamp9|ENSMUST00000198837.3|nan	yes	yes
ENSMUST00000067458.7	Sema5a	Sema5a	ENSMUSG00000022231	Sema5a|ENSMUST00000067458.7|nan	yes	yes
ENSMUST00000062397.13	Nudt3	Nudt3	ENSMUSG00000024213	Nudt3|ENSMUST00000062397.13|nan	yes	yes
ENSMUST00000025601.8	Lpxn	Lpxn	ENSMUSG00000024696	Lpxn|ENSMUST00000025601.8|nan	yes	yes
ENSMUST00000110204.9	Esrrb	Esrrb	ENSMUSG00000021255	Esrrb|ENSMUST00000110204.9|nan	yes	yes
ENSMUST00000110193.9	Tfap2a	Tfap2a	ENSMUSG00000021359	Tfap2a|ENSMUST00000110193.9|nan	yes	yes
ENSMUST00000107042.9	Fam168a	Fam168a	ENSMUSG00000029461	Fam168a|ENSMUST00000107042.9|nan	yes	yes
ENSMUST00000161854.8	Pip5k1c	Pip5k1c	ENSMUSG00000034902	Pip5k1c|ENSMUST00000161854.8|nan	yes	yes
ENSMUST00000087812.2	Or5an10	Or5an10	ENSMUSG00000067513	Or5an10|ENSMUST00000087812.2|nan	yes	yes
ENSMUST00000004396.13	Atp6v1f	Atp6v1f	ENSMUSG00000004285	Atp6v1f|ENSMUST00000004396.13|nan	yes	yes
ENSMUST00000238503.1	ENSMUSG00000118483	ENSMUSG00000118483	ENSMUSG00000118483	ENSMUSG00000118483|ENSMUST00000238503.1|nan	yes	yes
ENSMUST00000059637.8	Serpinb6d	Serpinb6d	ENSMUSG00000047889	Serpinb6d|ENSMUST00000059637.8|nan	yes	yes
ENSMUST00000231243.2	Hmga1	Hmga1	ENSMUSG00000046711	Hmga1|ENSMUST00000231243.2|nan	yes	yes
ENSMUST00000198472.5	Nr1h5	Nr1h5	ENSMUSG00000048938	Nr1h5|ENSMUST00000198472.5|nan	yes	yes
ENSMUST00000008090.11	Phox2a	Phox2a	ENSMUSG00000007946	Phox2a|ENSMUST00000008090.11|nan	yes	yes
ENSMUST00000127378.2	Yipf3	Yipf3	ENSMUSG00000071074	Yipf3|ENSMUST00000127378.2|nan	yes	yes
ENSMUST00000238156.2	Piezo2	Piezo2	ENSMUSG00000041482	Piezo2|ENSMUST00000238156.2|nan	yes	yes
ENSMUST00000097868.10	Adgrb2	Adgrb2	ENSMUSG00000028782	Adgrb2|ENSMUST00000097868.10|nan	yes	yes
ENSMUST00000060484.9	Clec4a1	Clec4a1	ENSMUSG00000049037	Clec4a1|ENSMUST00000060484.9|nan	yes	yes
ENSMUST00000019986.13	Rev3l	Rev3l	ENSMUSG00000019841	Rev3l|ENSMUST00000019986.13|nan	yes	yes
ENSMUST00000034460.11	Cog2	Cog2	ENSMUSG00000031979	Cog2|ENSMUST00000034460.11|nan	yes	yes
ENSMUST00000222414.2	Rasef	Rasef	ENSMUSG00000043003	Rasef|ENSMUST00000222414.2|nan	yes	yes
ENSMUST00000168341.2	Or2bd2	Or2bd2	ENSMUSG00000090824	Or2bd2|ENSMUST00000168341.2|nan	yes	yes
ENSMUST00000021632.5	Akr1c12	Akr1c12	ENSMUSG00000021211	Akr1c12|ENSMUST00000021632.5|nan	yes	yes
ENSMUST00000033567.15	Awat2	Awat2	ENSMUSG00000031220	Awat2|ENSMUST00000033567.15|nan	yes	yes
ENSMUST00000106746.8	Helz	Helz	ENSMUSG00000020721	Helz|ENSMUST00000106746.8|nan	yes	yes
ENSMUST00000170650.3	Rergl	Rergl	ENSMUSG00000092164	Rergl|ENSMUST00000170650.3|nan	yes	yes
ENSMUST00000150399.8	Ppp1r16a	Ppp1r16a	ENSMUSG00000033819	Ppp1r16a|ENSMUST00000150399.8|nan	yes	yes
ENSMUST00000149575.8	Spag8	Spag8	ENSMUSG00000066196	Spag8|ENSMUST00000149575.8|nan	yes	yes
ENSMUST00000006392.3	Serpinb9b	Serpinb9b	ENSMUSG00000021403	Serpinb9b|ENSMUST00000006392.3|nan	yes	yes
ENSMUST00000171306.5	Klrb1a	Klrb1a	ENSMUSG00000030361	Klrb1a|ENSMUST00000171306.5|nan	yes	yes
ENSMUST00000027565.5	Serpinb3c	Serpinb3c	ENSMUSG00000073601	Serpinb3c|ENSMUST00000027565.5|nan	yes	yes
ENSMUST00000222909.2	Tasor2	Tasor2	ENSMUSG00000033799	Tasor2|ENSMUST00000222909.2|nan	yes	yes
ENSMUST00000067752.5	Tmt1a	Tmt1a	ENSMUSG00000054619	Tmt1a|ENSMUST00000067752.5|nan	yes	yes
ENSMUST00000154132.8	Vta1	Vta1	ENSMUSG00000019868	Vta1|ENSMUST00000154132.8|nan	yes	yes
ENSMUST00000024936.11	Prss30	Prss30	ENSMUSG00000024124	Prss30|ENSMUST00000024936.11|nan	yes	yes
ENSMUST00000045042.8	Batf2	Batf2	ENSMUSG00000039699	Batf2|ENSMUST00000045042.8|nan	yes	yes
ENSMUST00000061277.11	Oog4	Oog4	ENSMUSG00000047799	Oog4|ENSMUST00000061277.11|nan	yes	yes
ENSMUST00000109241.5	Snx18	Snx18	ENSMUSG00000042364	Snx18|ENSMUST00000109241.5|nan	yes	yes
ENSMUST00000062740.15	Acp1	Acp1	ENSMUSG00000044573	Acp1|ENSMUST00000062740.15|nan	yes	yes
ENSMUST00000105886.8	Dhdds	Dhdds	ENSMUSG00000012117	Dhdds|ENSMUST00000105886.8|nan	yes	yes
ENSMUST00000045971.9	Chrnb1	Chrnb1	ENSMUSG00000041189	Chrnb1|ENSMUST00000045971.9|nan	yes	yes
ENSMUST00000171300.8	Sumf2	Sumf2	ENSMUSG00000025538	Sumf2|ENSMUST00000171300.8|nan	yes	yes
ENSMUST00000228362.2	Dgkh	Dgkh	ENSMUSG00000034731	Dgkh|ENSMUST00000228362.2|nan	yes	yes
ENSMUST00000211783.2	Cyth2	Cyth2	ENSMUSG00000003269	Cyth2|ENSMUST00000211783.2|nan	yes	yes
ENSMUST00000130372.3	Cd209g	Cd209g	ENSMUSG00000079168	Cd209g|ENSMUST00000130372.3|nan	yes	yes
ENSMUST00000223926.2	Atp9b	Atp9b	ENSMUSG00000024566	Atp9b|ENSMUST00000223926.2|nan	yes	yes
ENSMUST00000002737.7	Alkbh7	Alkbh7	ENSMUSG00000002661	Alkbh7|ENSMUST00000002737.7|nan	yes	yes
ENSMUST00000034057.14	Palld	Palld	ENSMUSG00000058056	Palld|ENSMUST00000034057.14|nan	yes	yes
ENSMUST00000026027.7	Taf5	Taf5	ENSMUSG00000025049	Taf5|ENSMUST00000026027.7|nan	yes	yes
ENSMUST00000116409.9	Hdac7	Hdac7	ENSMUSG00000022475	Hdac7|ENSMUST00000116409.9|nan	yes	yes
ENSMUST00000105831.9	Eif4g3	Eif4g3	ENSMUSG00000028760	Eif4g3|ENSMUST00000105831.9|nan	yes	yes
ENSMUST00000030690.12	Cdca8	Cdca8	ENSMUSG00000028873	Cdca8|ENSMUST00000030690.12|nan	yes	yes
ENSMUST00000239361.2	Gm52955	Gm52955	ENSMUSG00000118591	Gm52955|ENSMUST00000239361.2|nan	yes	yes
ENSMUST00000118987.2	Bahcc1	Bahcc1	ENSMUSG00000039741	Bahcc1|ENSMUST00000118987.2|nan	yes	yes
ENSMUST00000108876.9	Ythdf1	Ythdf1	ENSMUSG00000038848	Ythdf1|ENSMUST00000108876.9|nan	yes	yes
ENSMUST00000131422.8	Dna2	Dna2	ENSMUSG00000036875	Dna2|ENSMUST00000131422.8|nan	yes	yes
ENSMUST00000170055.8	Ttll7	Ttll7	ENSMUSG00000036745	Ttll7|ENSMUST00000170055.8|nan	yes	yes
ENSMUST00000077485.11	Zfp12	Zfp12	ENSMUSG00000029587	Zfp12|ENSMUST00000077485.11|nan	yes	yes
ENSMUST00000022064.5	Lrrc14b	Lrrc14b	ENSMUSG00000021579	Lrrc14b|ENSMUST00000022064.5|nan	yes	yes
ENSMUST00000092973.6	Cntrob	Cntrob	ENSMUSG00000032782	Cntrob|ENSMUST00000092973.6|nan	yes	yes
ENSMUST00000050771.8	Gm11437	Gm11437	ENSMUSG00000051452	Gm11437|ENSMUST00000050771.8|nan	yes	yes
ENSMUST00000179944.2	Sgo2b	Sgo2b	ENSMUSG00000094443	Sgo2b|ENSMUST00000179944.2|nan	yes	yes
ENSMUST00000161972.10	Vmn2r7	Vmn2r7	ENSMUSG00000062200	Vmn2r7|ENSMUST00000161972.10|nan	yes	yes
ENSMUST00000146265.8	Crem	Crem	ENSMUSG00000063889	Crem|ENSMUST00000146265.8|nan	yes	yes
ENSMUST00000194039.6	Sema3f	Sema3f	ENSMUSG00000034684	Sema3f|ENSMUST00000194039.6|nan	yes	yes
ENSMUST00000210061.2	Clcn4	Clcn4	ENSMUSG00000000605	Clcn4|ENSMUST00000210061.2|nan	yes	yes
ENSMUST00000008462.11	Relt	Relt	ENSMUSG00000008318	Relt|ENSMUST00000008462.11|nan	yes	yes
ENSMUST00000184487.8	Sema4a	Sema4a	ENSMUSG00000028064	Sema4a|ENSMUST00000184487.8|nan	yes	yes
ENSMUST00000099775.2	Or4a71	Or4a71	ENSMUSG00000075084	Or4a71|ENSMUST00000099775.2|nan	yes	yes
ENSMUST00000113631.2	Rtl5	Rtl5	ENSMUSG00000049191	Rtl5|ENSMUST00000113631.2|nan	yes	yes
ENSMUST00000084313.5	Or10ak12	Or10ak12	ENSMUSG00000066061	Or10ak12|ENSMUST00000084313.5|nan	yes	yes
ENSMUST00000111161.9	Styxl1	Styxl1	ENSMUSG00000019178	Styxl1|ENSMUST00000111161.9|nan	yes	yes
ENSMUST00000239095.2	Ube4b	Ube4b	ENSMUSG00000028960	Ube4b|ENSMUST00000239095.2|nan	yes	yes
