gene_name	transcript_name	transcript_id	gene_id	protein_id	gencode_basic
Npbwr1	Npbwr1-201	ENSMUST00000044180.5	ENSMUSG00000033774.5	ENSMUSP00000046233.5	True
Rb1cc1	Rb1cc1-201	ENSMUST00000027040.13	ENSMUSG00000025907.15	ENSMUSP00000027040.7	True
Alkal1	Alkal1-201	ENSMUST00000133144.4	ENSMUSG00000087247.4	ENSMUSP00000137420.2	True
St18	St18-208	ENSMUST00000140079.8	ENSMUSG00000033740.18	ENSMUSP00000118322.2	True
St18	St18-204	ENSMUST00000131494.8	ENSMUSG00000033740.18	ENSMUSP00000117789.2	True
St18	St18-201	ENSMUST00000043578.13	ENSMUSG00000033740.18	ENSMUSP00000042056.7	True
St18	St18-210	ENSMUST00000150761.8	ENSMUSG00000033740.18	ENSMUSP00000120298.2	True
St18	St18-212	ENSMUST00000151281.8	ENSMUSG00000033740.18	ENSMUSP00000122055.2	True
St18	St18-213	ENSMUST00000163727.4	ENSMUSG00000033740.18	ENSMUSP00000131417.3	True
Pcmtd1	Pcmtd1-201	ENSMUST00000061280.17	ENSMUSG00000051285.18	ENSMUSP00000059261.10	True
Sntg1	Sntg1-204	ENSMUST00000132064.8	ENSMUSG00000025909.17	ENSMUSP00000122134.2	True
Sntg1	Sntg1-210	ENSMUST00000191683.6	ENSMUSG00000025909.17	ENSMUSP00000141839.2	True
Sntg1	Sntg1-207	ENSMUST00000140295.8	ENSMUSG00000025909.17	ENSMUSP00000118101.3	True
Sntg1	Sntg1-202	ENSMUST00000115488.3	ENSMUSG00000025909.17	ENSMUSP00000111151.3	True
Rrs1	Rrs1-201	ENSMUST00000072079.9	ENSMUSG00000061024.9	ENSMUSP00000071955.8	True
Adhfe1	Adhfe1-203	ENSMUST00000144177.8	ENSMUSG00000025911.15	ENSMUSP00000116627.2	True
Vxn	Vxn-201	ENSMUST00000088666.4	ENSMUSG00000067879.4	ENSMUSP00000086041.4	True
Mybl1	Mybl1-201	ENSMUST00000088658.11	ENSMUSG00000025912.17	ENSMUSP00000086034.5	True
Mybl1	Mybl1-202	ENSMUST00000115468.9	ENSMUSG00000025912.17	ENSMUSP00000111128.3	True
Vcpip1	Vcpip1-201	ENSMUST00000057438.7	ENSMUSG00000045210.9	ENSMUSP00000051248.7	True
Sgk3	Sgk3-202	ENSMUST00000166384.8	ENSMUSG00000025915.15	ENSMUSP00000130078.2	True
Sgk3	Sgk3-203	ENSMUST00000168907.8	ENSMUSG00000025915.15	ENSMUSP00000126861.2	True
Sgk3	Sgk3-204	ENSMUST00000171265.8	ENSMUSG00000025915.15	ENSMUSP00000127462.2	True
Sgk3	Sgk3-201	ENSMUST00000097826.6	ENSMUSG00000025915.15	ENSMUSP00000095437.5	True
Mcmdc2	Mcmdc2-201	ENSMUST00000052843.12	ENSMUSG00000046101.17	ENSMUSP00000054715.6	True
Mcmdc2	Mcmdc2-205	ENSMUST00000171802.8	ENSMUSG00000046101.17	ENSMUSP00000128620.2	True
Mcmdc2	Mcmdc2-203	ENSMUST00000125294.9	ENSMUSG00000046101.17	ENSMUSP00000120858.3	True
Mcmdc2	Mcmdc2-204	ENSMUST00000140948.9	ENSMUSG00000046101.17	ENSMUSP00000120577.3	True
Mcmdc2	Mcmdc2-202	ENSMUST00000118098.3	ENSMUSG00000046101.17	ENSMUSP00000112851.2	True
Tcf24	Tcf24-202	ENSMUST00000185184.2	ENSMUSG00000099032.3	ENSMUSP00000138827.2	True
Tcf24	Tcf24-201	ENSMUST00000097824.3	ENSMUSG00000099032.3	ENSMUSP00000095435.3	True
Ppp1r42	Ppp1r42-201	ENSMUST00000027049.10	ENSMUSG00000025916.11	ENSMUSP00000027049.4	True
Cops5	Cops5-201	ENSMUST00000027050.10	ENSMUSG00000025917.10	ENSMUSP00000027050.4	True
Cspp1	Cspp1-201	ENSMUST00000071087.12	ENSMUSG00000056763.17	ENSMUSP00000068804.6	True
Cspp1	Cspp1-202	ENSMUST00000117415.8	ENSMUSG00000056763.17	ENSMUSP00000112800.2	True
Cspp1	Cspp1-203	ENSMUST00000118263.8	ENSMUSG00000056763.17	ENSMUSP00000112476.2	True
Cspp1	Cspp1-205	ENSMUST00000122156.8	ENSMUSG00000056763.17	ENSMUSP00000113663.2	True
Cspp1	Cspp1-204	ENSMUST00000119714.8	ENSMUSG00000056763.17	ENSMUSP00000114091.2	True
Cspp1	Cspp1-217	ENSMUST00000186294.7	ENSMUSG00000056763.17	ENSMUSP00000139775.2	True
Arfgef1	Arfgef1-201	ENSMUST00000088615.11	ENSMUSG00000067851.12	ENSMUSP00000085986.5	True
Arfgef1	Arfgef1-203	ENSMUST00000131556.2	ENSMUSG00000067851.12	ENSMUSP00000118805.2	True
Cpa6	Cpa6-201	ENSMUST00000035577.7	ENSMUSG00000042501.13	ENSMUSP00000035435.7	True
Prex2	Prex2-201	ENSMUST00000027056.12	ENSMUSG00000048960.14	ENSMUSP00000027056.6	True
A830018L16Rik	A830018L16Rik-208	ENSMUST00000171690.9	ENSMUSG00000057715.14	ENSMUSP00000132334.3	True
A830018L16Rik	A830018L16Rik-201	ENSMUST00000048613.14	ENSMUSG00000057715.14	ENSMUSP00000043857.8	True
A830018L16Rik	A830018L16Rik-202	ENSMUST00000135014.8	ENSMUSG00000057715.14	ENSMUSP00000119143.2	True
A830018L16Rik	A830018L16Rik-203	ENSMUST00000137824.8	ENSMUSG00000057715.14	ENSMUSP00000117421.2	True
A830018L16Rik	A830018L16Rik-209	ENSMUST00000179089.8	ENSMUSG00000057715.14	ENSMUSP00000137287.3	True
Sulf1	Sulf1-202	ENSMUST00000177608.8	ENSMUSG00000016918.16	ENSMUSP00000137523.2	True
Sulf1	Sulf1-203	ENSMUST00000180062.8	ENSMUSG00000016918.16	ENSMUSP00000136014.2	True
Sulf1	Sulf1-205	ENSMUST00000186051.7	ENSMUSG00000016918.16	ENSMUSP00000141153.2	True
Sulf1	Sulf1-201	ENSMUST00000088585.10	ENSMUSG00000016918.16	ENSMUSP00000085949.4	True
Slco5a1	Slco5a1-207	ENSMUST00000188454.7	ENSMUSG00000025938.17	ENSMUSP00000140091.2	True
Slco5a1	Slco5a1-202	ENSMUST00000115403.9	ENSMUSG00000025938.17	ENSMUSP00000111062.3	True
Slco5a1	Slco5a1-201	ENSMUST00000115402.8	ENSMUSG00000025938.17	ENSMUSP00000111061.2	True
Slco5a1	Slco5a1-204	ENSMUST00000136197.8	ENSMUSG00000025938.17	ENSMUSP00000139533.2	True
Slco5a1	Slco5a1-205	ENSMUST00000146763.8	ENSMUSG00000025938.17	ENSMUSP00000139586.2	True
Slco5a1	Slco5a1-206	ENSMUST00000147606.3	ENSMUSG00000025938.17	ENSMUSP00000140658.2	True
Prdm14	Prdm14-201	ENSMUST00000047577.7	ENSMUSG00000042414.8	ENSMUSP00000044245.7	True
Ncoa2	Ncoa2-203	ENSMUST00000081713.11	ENSMUSG00000005886.15	ENSMUSP00000080413.5	True
Ncoa2	Ncoa2-202	ENSMUST00000068304.13	ENSMUSG00000005886.15	ENSMUSP00000069509.7	True
Ncoa2	Ncoa2-201	ENSMUST00000006037.13	ENSMUSG00000005886.15	ENSMUSP00000006037.7	True
Tram1	Tram1-201	ENSMUST00000027068.11	ENSMUSG00000025935.11	ENSMUSP00000027068.5	True
Lactb2	Lactb2-201	ENSMUST00000027071.7	ENSMUSG00000025937.7	ENSMUSP00000027071.6	True
Xkr9	Xkr9-201	ENSMUST00000088542.4	ENSMUSG00000067813.4	ENSMUSP00000085900.4	True
Eya1	Eya1-201	ENSMUST00000027066.13	ENSMUSG00000025932.15	ENSMUSP00000027066.7	True
Eya1	Eya1-203	ENSMUST00000168081.9	ENSMUSG00000025932.15	ENSMUSP00000126383.4	True
Eya1	Eya1-202	ENSMUST00000080664.14	ENSMUSG00000025932.15	ENSMUSP00000079493.9	True
Eya1	Eya1-209	ENSMUST00000190337.7	ENSMUSG00000025932.15	ENSMUSP00000141112.2	True
Msc	Msc-201	ENSMUST00000027062.7	ENSMUSG00000025930.7	ENSMUSP00000027062.6	True
Trpa1	Trpa1-201	ENSMUST00000041447.5	ENSMUSG00000032769.6	ENSMUSP00000043594.5	True
Trpa1	Trpa1-202	ENSMUST00000235071.2	ENSMUSG00000032769.6	ENSMUSP00000157371.2	True
Kcnb2	Kcnb2-202	ENSMUST00000175681.3	ENSMUSG00000092083.5	ENSMUSP00000135382.2	True
Kcnb2	Kcnb2-201	ENSMUST00000170146.3	ENSMUSG00000092083.5	ENSMUSP00000126656.3	True
Terf1	Terf1-203	ENSMUST00000188371.7	ENSMUSG00000025925.15	ENSMUSP00000140744.2	True
Terf1	Terf1-201	ENSMUST00000027057.8	ENSMUSG00000025925.15	ENSMUSP00000027057.8	True
Sbspon	Sbspon-201	ENSMUST00000040695.5	ENSMUSG00000032719.5	ENSMUSP00000047730.5	True
4930444P10Rik	4930444P10Rik-201	ENSMUST00000115367.8	ENSMUSG00000067795.14	ENSMUSP00000111024.3	True
4930444P10Rik	4930444P10Rik-202	ENSMUST00000145070.8	ENSMUSG00000067795.14	ENSMUSP00000137853.2	True
4930444P10Rik	4930444P10Rik-203	ENSMUST00000151004.2	ENSMUSG00000067795.14	ENSMUSP00000119257.3	True
Rpl7	Rpl7-201	ENSMUST00000058437.14	ENSMUSG00000043716.14	ENSMUSP00000071616.7	True
Rdh10	Rdh10-201	ENSMUST00000027053.8	ENSMUSG00000025921.8	ENSMUSP00000027053.8	True
Stau2	Stau2-217	ENSMUST00000162751.8	ENSMUSG00000025920.20	ENSMUSP00000124505.2	True
Stau2	Stau2-202	ENSMUST00000054668.13	ENSMUSG00000025920.20	ENSMUSP00000053190.7	True
Stau2	Stau2-216	ENSMUST00000162627.8	ENSMUSG00000025920.20	ENSMUSP00000123781.2	True
Stau2	Stau2-201	ENSMUST00000027052.13	ENSMUSG00000025920.20	ENSMUSP00000027052.7	True
Stau2	Stau2-215	ENSMUST00000162435.8	ENSMUSG00000025920.20	ENSMUSP00000123827.2	True
Stau2	Stau2-213	ENSMUST00000159558.8	ENSMUSG00000025920.20	ENSMUSP00000125726.2	True
Stau2	Stau2-206	ENSMUST00000128957.9	ENSMUSG00000025920.20	ENSMUSP00000122410.3	True
Stau2	Stau2-207	ENSMUST00000131257.9	ENSMUSG00000025920.20	ENSMUSP00000121410.3	True
Stau2	Stau2-214	ENSMUST00000162007.8	ENSMUSG00000025920.20	ENSMUSP00000124303.2	True
Stau2	Stau2-210	ENSMUST00000149320.9	ENSMUSG00000025920.20	ENSMUSP00000118489.3	True
Stau2	Stau2-203	ENSMUST00000115359.10	ENSMUSG00000025920.20	ENSMUSP00000111016.4	True
Stau2	Stau2-209	ENSMUST00000145092.8	ENSMUSG00000025920.20	ENSMUSP00000115041.2	True
Stau2	Stau2-208	ENSMUST00000144138.4	ENSMUSG00000025920.20	ENSMUSP00000119130.3	True
Ube2w	Ube2w-206	ENSMUST00000182554.9	ENSMUSG00000025939.20	ENSMUSP00000138110.3	True
Ube2w	Ube2w-201	ENSMUST00000117146.9	ENSMUSG00000025939.20	ENSMUSP00000112741.4	True
Eloc	Eloc-208	ENSMUST00000188641.7	ENSMUSG00000079658.10	ENSMUSP00000140422.2	True
Eloc	Eloc-201	ENSMUST00000115352.10	ENSMUSG00000079658.10	ENSMUSP00000111009.4	True
Eloc	Eloc-206	ENSMUST00000186948.7	ENSMUSG00000079658.10	ENSMUSP00000140962.2	True
Eloc	Eloc-207	ENSMUST00000187910.7	ENSMUSG00000079658.10	ENSMUSP00000139480.2	True
Eloc	Eloc-203	ENSMUST00000185771.7	ENSMUSG00000079658.10	ENSMUSP00000139675.2	True
Tmem70	Tmem70-203	ENSMUST00000177501.2	ENSMUSG00000025940.7	ENSMUSP00000135483.2	True
Tmem70	Tmem70-201	ENSMUST00000065373.6	ENSMUSG00000025940.7	ENSMUSP00000070497.6	True
Ly96	Ly96-201	ENSMUST00000026881.11	ENSMUSG00000025779.11	ENSMUSP00000026881.5	True
Ly96	Ly96-202	ENSMUST00000190366.2	ENSMUSG00000025779.11	ENSMUSP00000140411.2	True
Jph1	Jph1-201	ENSMUST00000038382.5	ENSMUSG00000042686.6	ENSMUSP00000039072.5	True
Gdap1	Gdap1-201	ENSMUST00000026879.8	ENSMUSG00000025777.9	ENSMUSP00000026879.8	True
Pi15	Pi15-201	ENSMUST00000088476.5	ENSMUSG00000067780.4	ENSMUSP00000085826.4	True
Crispld1	Crispld1-202	ENSMUST00000159958.8	ENSMUSG00000025776.14	ENSMUSP00000124095.2	True
Crispld1	Crispld1-201	ENSMUST00000095075.5	ENSMUSG00000025776.14	ENSMUSP00000092686.5	True
Crisp4	Crisp4-201	ENSMUST00000026876.13	ENSMUSG00000025774.15	ENSMUSP00000026876.7	True
Crisp4	Crisp4-202	ENSMUST00000115340.8	ENSMUSG00000025774.15	ENSMUSP00000110997.2	True
Crisp4	Crisp4-203	ENSMUST00000115344.2	ENSMUSG00000025774.15	ENSMUSP00000111001.2	True
Defb18	Defb18-201	ENSMUST00000097818.2	ENSMUSG00000073735.2	ENSMUSP00000095427.2	True
Defb41	Defb41-201	ENSMUST00000088463.2	ENSMUSG00000067773.7	ENSMUSP00000085811.2	True
Defb41	Defb41-202	ENSMUST00000097817.4	ENSMUSG00000067773.7	ENSMUSP00000095426.4	True
Tfap2d	Tfap2d-201	ENSMUST00000037294.8	ENSMUSG00000042596.8	ENSMUSP00000037699.8	True
Tfap2b	Tfap2b-201	ENSMUST00000027059.11	ENSMUSG00000025927.14	ENSMUSP00000027059.5	True
Tfap2b	Tfap2b-204	ENSMUST00000187754.7	ENSMUSG00000025927.14	ENSMUSP00000140213.2	True
Tfap2b	Tfap2b-202	ENSMUST00000064976.6	ENSMUSG00000025927.14	ENSMUSP00000064488.5	True
Pkhd1	Pkhd1-201	ENSMUST00000088448.12	ENSMUSG00000043760.17	ENSMUSP00000085794.6	True
Il17a	Il17a-201	ENSMUST00000027061.5	ENSMUSG00000025929.5	ENSMUSP00000027061.5	True
Il17f	Il17f-201	ENSMUST00000039046.10	ENSMUSG00000041872.10	ENSMUSP00000046960.4	True
Mcm3	Mcm3-201	ENSMUST00000053266.11	ENSMUSG00000041859.11	ENSMUSP00000059192.10	True
Paqr8	Paqr8-204	ENSMUST00000189400.7	ENSMUSG00000025931.16	ENSMUSP00000141054.2	True
Paqr8	Paqr8-201	ENSMUST00000068880.14	ENSMUSG00000025931.16	ENSMUSP00000069127.8	True
Paqr8	Paqr8-202	ENSMUST00000167119.8	ENSMUSG00000025931.16	ENSMUSP00000128781.2	True
Paqr8	Paqr8-203	ENSMUST00000187651.2	ENSMUSG00000025931.16	ENSMUSP00000140913.2	True
Efhc1	Efhc1-201	ENSMUST00000038447.6	ENSMUSG00000041809.6	ENSMUSP00000042343.5	True
Tram2	Tram2-201	ENSMUST00000037998.6	ENSMUSG00000041779.6	ENSMUSP00000047992.5	True
Tmem14a	Tmem14a-202	ENSMUST00000027065.12	ENSMUSG00000025933.16	ENSMUSP00000027065.6	True
Tmem14a	Tmem14a-201	ENSMUST00000027064.8	ENSMUSG00000025933.16	ENSMUSP00000027064.8	True
Gsta3	Gsta3-201	ENSMUST00000027067.15	ENSMUSG00000025934.16	ENSMUSP00000027067.9	True
Gsta3	Gsta3-202	ENSMUST00000121676.8	ENSMUSG00000025934.16	ENSMUSP00000113262.2	True
Khdc1a	Khdc1a-201	ENSMUST00000088407.4	ENSMUSG00000067750.4	ENSMUSP00000085749.4	True
Khdc1c	Khdc1c-201	ENSMUST00000070223.6	ENSMUSG00000041722.8	ENSMUSP00000068792.6	True
Khdc1b	Khdc1b-201	ENSMUST00000147615.2	ENSMUSG00000085079.4	ENSMUSP00000120275.2	True
Kcnq5	Kcnq5-201	ENSMUST00000029667.13	ENSMUSG00000028033.17	ENSMUSP00000029667.7	True
Kcnq5	Kcnq5-203	ENSMUST00000115300.8	ENSMUSG00000028033.17	ENSMUSP00000110955.2	True
Kcnq5	Kcnq5-205	ENSMUST00000173058.8	ENSMUSG00000028033.17	ENSMUSP00000134166.2	True
Kcnq5	Kcnq5-206	ENSMUST00000173404.2	ENSMUSG00000028033.17	ENSMUSP00000134076.2	True
Rims1	Rims1-201	ENSMUST00000081544.14	ENSMUSG00000041670.20	ENSMUSP00000080259.8	True
Rims1	Rims1-203	ENSMUST00000097809.11	ENSMUSG00000041670.20	ENSMUSP00000095418.5	True
Rims1	Rims1-204	ENSMUST00000115273.10	ENSMUSG00000041670.20	ENSMUSP00000110928.4	True
Rims1	Rims1-205	ENSMUST00000164877.8	ENSMUSG00000041670.20	ENSMUSP00000131808.2	True
Rims1	Rims1-202	ENSMUST00000097808.9	ENSMUSG00000041670.20	ENSMUSP00000095417.8	True
Ppp1r14bl	Ppp1r14bl-201	ENSMUST00000073179.6	ENSMUSG00000073730.3	ENSMUSP00000072920.6	True
Ogfrl1	Ogfrl1-201	ENSMUST00000027343.6	ENSMUSG00000026158.12	ENSMUSP00000027343.6	True
B3gat2	B3gat2-203	ENSMUST00000144602.2	ENSMUSG00000026156.9	ENSMUSP00000115870.2	True
B3gat2	B3gat2-201	ENSMUST00000063663.6	ENSMUSG00000026156.9	ENSMUSP00000066582.6	True
B3gat2	B3gat2-202	ENSMUST00000140583.2	ENSMUSG00000026156.9	ENSMUSP00000117089.2	True
Smap1	Smap1-201	ENSMUST00000027339.14	ENSMUSG00000026155.14	ENSMUSP00000027339.8	True
Smap1	Smap1-202	ENSMUST00000129254.8	ENSMUSG00000026155.14	ENSMUSP00000117875.2	True
Sdhaf4	Sdhaf4-201	ENSMUST00000027338.4	ENSMUSG00000026154.5	ENSMUSP00000027338.4	True
Fam135a	Fam135a-208	ENSMUST00000187752.7	ENSMUSG00000026153.16	ENSMUSP00000139633.2	True
Fam135a	Fam135a-206	ENSMUST00000187369.7	ENSMUSG00000026153.16	ENSMUSP00000140766.2	True
Fam135a	Fam135a-201	ENSMUST00000027337.15	ENSMUSG00000026153.16	ENSMUSP00000027337.9	True
Col9a1	Col9a1-201	ENSMUST00000054588.15	ENSMUSG00000026147.17	ENSMUSP00000051579.9	True
Col9a1	Col9a1-202	ENSMUST00000088349.3	ENSMUSG00000026147.17	ENSMUSP00000085687.3	True
Col19a1	Col19a1-202	ENSMUST00000115244.9	ENSMUSG00000026141.14	ENSMUSP00000110899.3	True
Col19a1	Col19a1-201	ENSMUST00000051344.6	ENSMUSG00000026141.14	ENSMUSP00000052606.6	True
Lmbrd1	Lmbrd1-206	ENSMUST00000191471.7	ENSMUSG00000073725.9	ENSMUSP00000140783.2	True
Lmbrd1	Lmbrd1-202	ENSMUST00000186096.7	ENSMUSG00000073725.9	ENSMUSP00000140911.2	True
Lmbrd1	Lmbrd1-201	ENSMUST00000095062.10	ENSMUSG00000073725.9	ENSMUSP00000092672.5	True
Adgrb3	Adgrb3-203	ENSMUST00000126626.8	ENSMUSG00000033569.18	ENSMUSP00000115442.2	True
Adgrb3	Adgrb3-205	ENSMUST00000135518.8	ENSMUSG00000033569.18	ENSMUSP00000119804.2	True
Adgrb3	Adgrb3-207	ENSMUST00000151309.8	ENSMUSG00000033569.18	ENSMUSP00000116231.2	True
Adgrb3	Adgrb3-201	ENSMUST00000041838.7	ENSMUSG00000033569.18	ENSMUSP00000035612.7	True
4931408C20Rik	4931408C20Rik-201	ENSMUST00000097801.4	ENSMUSG00000073722.4	ENSMUSP00000095410.4	True
Gm597	Gm597-201	ENSMUST00000059937.5	ENSMUSG00000048411.5	ENSMUSP00000058140.4	True
Phf3	Phf3-205	ENSMUST00000186733.7	ENSMUSG00000048874.16	ENSMUSP00000139610.2	True
Phf3	Phf3-201	ENSMUST00000088310.10	ENSMUSG00000048874.16	ENSMUSP00000085650.4	True
Ptp4a1	Ptp4a1-203	ENSMUST00000232841.2	ENSMUSG00000026064.17	ENSMUSP00000156862.2	True
Ptp4a1	Ptp4a1-206	ENSMUST00000233506.2	ENSMUSG00000117310.3	ENSMUSP00000156424.2	True
Ptp4a1	Ptp4a1-204	ENSMUST00000027232.15	ENSMUSG00000117310.3	ENSMUSP00000027232.8	True
Ptp4a1	Ptp4a1-205	ENSMUST00000076587.6	ENSMUSG00000117310.3	ENSMUSP00000110861.3	True
Ptp4a1	Ptp4a1-207	ENSMUST00000238874.2	ENSMUSG00000117310.3	ENSMUSP00000159162.2	True
Gm5698	Gm5698-201	ENSMUST00000178317.4	ENSMUSG00000117091.2	ENSMUSP00000156551.2	True
4931428L18Rik	4931428L18Rik-207	ENSMUST00000233331.3	ENSMUSG00000086727.10	ENSMUSP00000156897.2	True
4931428L18Rik	4931428L18Rik-203	ENSMUST00000152491.4	ENSMUSG00000086727.10	ENSMUSP00000156852.2	True
4931428L18Rik	4931428L18Rik-205	ENSMUST00000187892.8	ENSMUSG00000086727.10	ENSMUSP00000139433.3	True
Lgsn	Lgsn-201	ENSMUST00000062560.14	ENSMUSG00000050217.14	ENSMUSP00000059871.8	True
Dnaaf6rt	Dnaaf6rt-201	ENSMUST00000027230.3	ENSMUSG00000026063.5	ENSMUSP00000127665.2	True
Gm6489	Gm6489-201	ENSMUST00000178167.4	ENSMUSG00000094215.4	ENSMUSP00000159554.1	True
Khdrbs2	Khdrbs2-201	ENSMUST00000027226.12	ENSMUSG00000026058.12	ENSMUSP00000027226.6	True
Khdrbs2	Khdrbs2-205	ENSMUST00000189878.2	ENSMUSG00000026058.12	ENSMUSP00000141095.2	True
Khdrbs2	Khdrbs2-204	ENSMUST00000188257.7	ENSMUSG00000026058.12	ENSMUSP00000140157.2	True
Khdrbs2	Khdrbs2-202	ENSMUST00000185666.2	ENSMUSG00000026058.12	ENSMUSP00000140451.2	True
Semp2l1	Semp2l1-201	ENSMUST00000171322.3	ENSMUSG00000091318.3	ENSMUSP00000132789.2	True
Prim2	Prim2-201	ENSMUST00000027312.11	ENSMUSG00000026134.12	ENSMUSP00000027312.10	True
Rab23	Rab23-201	ENSMUST00000088287.10	ENSMUSG00000004768.15	ENSMUSP00000085625.4	True
Rab23	Rab23-202	ENSMUST00000115174.4	ENSMUSG00000004768.15	ENSMUSP00000110828.2	True
Bag2	Bag2-201	ENSMUST00000044691.9	ENSMUSG00000042215.9	ENSMUSP00000042009.8	True
Bag2	Bag2-203	ENSMUST00000187602.2	ENSMUSG00000042215.9	ENSMUSP00000139538.2	True
Zfp451	Zfp451-201	ENSMUST00000019861.13	ENSMUSG00000042197.14	ENSMUSP00000019861.7	True
Zfp451	Zfp451-202	ENSMUST00000044455.8	ENSMUSG00000042197.14	ENSMUSP00000044372.6	True
Bend6	Bend6-202	ENSMUST00000115161.8	ENSMUSG00000042182.17	ENSMUSP00000110814.2	True
Bend6	Bend6-204	ENSMUST00000129464.8	ENSMUSG00000042182.17	ENSMUSP00000141053.2	True
Bend6	Bend6-201	ENSMUST00000062289.11	ENSMUSG00000042182.17	ENSMUSP00000052919.9	True
Dst	Dst-210	ENSMUST00000183034.5	ENSMUSG00000026131.22	ENSMUSP00000138308.2	True
Dst	Dst-208	ENSMUST00000182697.8	ENSMUSG00000026131.22	ENSMUSP00000141811.2	True
Dst	Dst-204	ENSMUST00000182314.8	ENSMUSG00000026131.22	ENSMUSP00000142098.2	True
Dst	Dst-202	ENSMUST00000097786.10	ENSMUSG00000026131.22	ENSMUSP00000095393.3	True
Dst	Dst-201	ENSMUST00000097785.10	ENSMUSG00000026131.22	ENSMUSP00000095392.3	True
Dst	Dst-212	ENSMUST00000183302.6	ENSMUSG00000026131.22	ENSMUSP00000138376.4	True
Dst	Dst-214	ENSMUST00000185269.7	ENSMUSG00000026131.22	ENSMUSP00000141127.2	True
Ccdc115	Ccdc115-201	ENSMUST00000042493.10	ENSMUSG00000042111.10	ENSMUSP00000042918.9	True
Imp4	Imp4-201	ENSMUST00000027303.14	ENSMUSG00000026127.14	ENSMUSP00000027303.8	True
Ptpn18	Ptpn18-201	ENSMUST00000027302.14	ENSMUSG00000026126.16	ENSMUSP00000027302.8	True
Ptpn18	Ptpn18-206	ENSMUST00000188972.3	ENSMUSG00000026126.16	ENSMUSP00000140436.2	True
Prss39	Prss39-201	ENSMUST00000027299.10	ENSMUSG00000026125.10	ENSMUSP00000027299.4	True
Cfc1	Cfc1-201	ENSMUST00000027298.5	ENSMUSG00000026124.5	ENSMUSP00000027298.4	True
Prss40	Prss40-201	ENSMUST00000047840.9	ENSMUSG00000037529.14	ENSMUSP00000045118.8	True
Amer3	Amer3-201	ENSMUST00000052670.11	ENSMUSG00000045174.11	ENSMUSP00000054748.9	True
Arhgef4	Arhgef4-204	ENSMUST00000159747.9	ENSMUSG00000037509.22	ENSMUSP00000124213.3	True
